nodetype,charpattern,nodepattern
Dot,\.,
Backslash,\\,
Slash,/,
DoubleQuote,"""",
Plus,+,
Minus,-,
IntegralPart,(?:0 | [1-9] [0-9]*),
FractionalPart,(?:Dot [0-9]+),
ExponentPart,(?:[e E] [Plus Minus]? [0-9]+),
NormalCharacter,[^ ControlCharacter DoubleQuote Backslash],
ControlCharacter,\x00-\x1f,
EscapeSequence,Backslash (?:[DoubleQuote Backslash Slash b f n r t] | UnicodeEscape),
UnicodeEscape,u[0-9 A-F a-f]{4},
Null,n u l l,
True,t r u e,
False,f a l s e,
LeftBracket,\[,
RightBracket,\],
LeftBrace,\{,
RightBrace,\},
Comma,",",
Colon,:,
Number,Minus? IntegralPart FractionalPart? ExponentPart?,
String,DoubleQuote (?:NormalCharacter | EscapeSequence)* DoubleQuote,
WS,\s+,
Key,,(String) WS? Colon
Member,,(WS? Key WS? Colon JSON)
Object,,(LeftBrace (?:Member (?:Comma Member)* | WS?) RightBrace)
Array,,(LeftBracket (?:JSON (?:Comma JSON)* | WS?) RightBracket)
JSON,,(WS? [Object Array String True False Null Number] WS?)
